1 סאזא - ףכüענא, 28.9.2016, 17:21
Diameter[mm] 2.000e+01  Thickness[mm] 1.250e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [°C]=1.4500e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'  	 Eps'' 	 Sig' [S/cm]	 Sig'' [S/cm]	 Zp' [Ohms]	 Zp'' [Ohms]	 Modulus'  	 Modulus''  
1.00000e+06	3.04501e+00	1.39180e-01	7.74295e-08	-1.13769e-06	5.13871e+04	2.34878e+03	3.27722e-01	1.49794e-02
7.40741e+05	3.07315e+00	1.39203e-01	5.73644e-08	-8.54331e-07	6.93614e+04	3.14182e+03	3.24733e-01	1.47092e-02
5.48697e+05	3.09811e+00	1.39171e-01	4.24827e-08	-6.40458e-07	9.36588e+04	4.20728e+03	3.22127e-01	1.44704e-02
4.06442e+05	3.12291e+00	1.40115e-01	3.16820e-08	-4.80021e-07	1.25588e+05	5.63472e+03	3.19570e-01	1.43381e-02
3.01068e+05	3.14738e+00	1.42134e-01	2.38064e-08	-3.59669e-07	1.67135e+05	7.54774e+03	3.17078e-01	1.43191e-02
2.23014e+05	3.17182e+00	1.45548e-01	1.80579e-08	-2.69454e-07	2.20340e+05	1.01109e+04	3.14614e-01	1.44370e-02
1.65195e+05	3.19572e+00	1.50757e-01	1.38549e-08	-2.01792e-07	2.87182e+05	1.35477e+04	3.12223e-01	1.47290e-02
1.22367e+05	3.21929e+00	1.58221e-01	1.07710e-08	-1.51080e-07	3.69406e+05	1.81555e+04	3.09879e-01	1.52299e-02
1.00000e+05	3.23485e+00	1.65019e-01	9.18044e-09	-1.24331e-07	4.33408e+05	2.21094e+04	3.08331e-01	1.57288e-02
7.40741e+04	3.25785e+00	1.78670e-01	7.36288e-09	-9.30443e-08	5.40396e+05	2.96370e+04	3.06031e-01	1.67837e-02
5.48697e+04	3.28068e+00	1.97787e-01	6.03752e-09	-6.96186e-08	6.59024e+05	3.97315e+04	3.03711e-01	1.83103e-02
4.06442e+04	3.30372e+00	2.24199e-01	5.06946e-09	-5.20903e-08	7.84871e+05	5.32635e+04	3.01302e-01	2.04472e-02
3.01068e+04	3.32723e+00	2.60245e-01	4.35889e-09	-3.89792e-08	9.12817e+05	7.13976e+04	2.98723e-01	2.33652e-02
2.23013e+04	3.35164e+00	3.08908e-01	3.83256e-09	-2.91763e-08	1.03818e+06	9.56847e+04	2.95848e-01	2.72672e-02
1.65195e+04	3.37764e+00	3.74107e-01	3.43813e-09	-2.18511e-08	1.15728e+06	1.28180e+05	2.92477e-01	3.23947e-02
1.22367e+04	3.40607e+00	4.61114e-01	3.13907e-09	-1.63795e-08	1.26753e+06	1.71598e+05	2.88309e-01	3.90313e-02
1.00000e+04	3.42710e+00	5.35223e-01	2.97759e-09	-1.35026e-08	1.33628e+06	2.08691e+05	2.84845e-01	4.44853e-02
7.40741e+03	3.46233e+00	6.75058e-01	2.78187e-09	-1.01471e-08	1.43029e+06	2.78866e+05	2.78246e-01	5.42502e-02
5.48697e+03	3.50376e+00	8.59632e-01	2.62406e-09	-7.64283e-09	1.51630e+06	3.72018e+05	2.69203e-01	6.60479e-02
4.06442e+03	3.55364e+00	1.10261e+00	2.49317e-09	-5.77414e-09	1.59591e+06	4.95176e+05	2.56690e-01	7.96451e-02
3.01068e+03	3.61316e+00	1.42048e+00	2.37919e-09	-4.37684e-09	1.67237e+06	6.57474e+05	2.39716e-01	9.42419e-02
2.23014e+03	3.68865e+00	1.83716e+00	2.27933e-09	-3.33576e-09	1.74563e+06	8.69425e+05	2.17218e-01	1.08187e-01
1.65195e+03	3.78065e+00	2.38181e+00	2.18894e-09	-2.55549e-09	1.81772e+06	1.14516e+06	1.89351e-01	1.19291e-01
1.22367e+03	3.89056e+00	3.09461e+00	2.10668e-09	-1.96778e-09	1.88869e+06	1.50229e+06	1.57429e-01	1.25221e-01
1.00000e+03	3.97788e+00	3.69711e+00	2.05680e-09	-1.65667e-09	1.93450e+06	1.79796e+06	1.34879e-01	1.25359e-01
7.40741e+02	4.11571e+00	4.82086e+00	1.98665e-09	-1.28396e-09	2.00281e+06	2.34595e+06	1.02432e-01	1.19982e-01
5.48697e+02	4.27336e+00	6.31279e+00	1.92700e-09	-9.99207e-10	2.06480e+06	3.05020e+06	7.35355e-02	1.08630e-01
4.06442e+02	4.43668e+00	8.28341e+00	1.87300e-09	-7.77083e-10	2.12434e+06	3.96619e+06	5.02461e-02	9.38109e-02
3.01068e+02	4.61612e+00	1.09310e+01	1.83085e-09	-6.05672e-10	2.17324e+06	5.14622e+06	3.27861e-02	7.76376e-02
2.23014e+02	4.79652e+00	1.44665e+01	1.79484e-09	-4.71027e-10	2.21684e+06	6.68611e+06	2.06491e-02	6.22786e-02
1.65195e+02	4.98223e+00	1.92225e+01	1.76659e-09	-3.65976e-10	2.25228e+06	8.68980e+06	1.26347e-02	4.87476e-02
1.22367e+02	5.17179e+00	2.56338e+01	1.74504e-09	-2.83998e-10	2.28010e+06	1.13012e+07	7.56286e-03	3.74851e-02
1.00000e+02	5.29919e+00	3.11381e+01	1.73229e-09	-2.39175e-10	2.29689e+06	1.34965e+07	5.31163e-03	3.12111e-02
7.40741e+01	5.48681e+00	4.16781e+01	1.71753e-09	-1.84898e-10	2.31663e+06	1.75973e+07	3.10485e-03	2.35847e-02
5.48697e+01	5.68105e+00	5.59065e+01	1.70657e-09	-1.42891e-10	2.33150e+06	2.29440e+07	1.79904e-03	1.77042e-02
4.06442e+01	5.87909e+00	7.50901e+01	1.69789e-09	-1.10323e-10	2.34342e+06	2.99310e+07	1.03631e-03	1.32362e-02
3.01068e+01	6.08859e+00	1.00963e+02	1.69106e-09	-8.52298e-11	2.35289e+06	3.90166e+07	5.95131e-04	9.86869e-03
2.23013e+01	6.31183e+00	1.35861e+02	1.68561e-09	-6.59029e-11	2.36050e+06	5.08094e+07	3.41214e-04	7.34459e-03
1.65195e+01	6.60719e+00	1.82640e+02	1.67850e-09	-5.15314e-11	2.37049e+06	6.55265e+07	1.97815e-04	5.46810e-03
1.22367e+01	6.90253e+00	2.46101e+02	1.67535e-09	-4.01819e-11	2.37495e+06	8.46758e+07	1.13878e-04	4.06018e-03
1.00000e+01	7.15280e+00	3.00773e+02	1.67328e-09	-3.42296e-11	2.37789e+06	9.99896e+07	7.90229e-05	3.32289e-03
7.40741e+00	7.60837e+00	4.05419e+02	1.67070e-09	-2.72327e-11	2.38156e+06	1.26903e+08	4.62734e-05	2.46572e-03
5.48697e+00	8.24381e+00	5.46633e+02	1.66862e-09	-2.21120e-11	2.38453e+06	1.58114e+08	2.75828e-05	1.82897e-03
4.06442e+00	9.13510e+00	7.36925e+02	1.66629e-09	-1.83946e-11	2.38786e+06	1.92628e+08	1.68190e-05	1.35678e-03
3.01068e+00	1.04045e+01	9.93385e+02	1.66384e-09	-1.57518e-11	2.39138e+06	2.28320e+08	1.05424e-05	1.00655e-03
2.23013e+00	1.23575e+01	1.33931e+03	1.66165e-09	-1.40910e-11	2.39453e+06	2.59520e+08	6.88863e-06	7.46592e-04
1.65195e+00	1.51066e+01	1.80543e+03	1.65923e-09	-1.29643e-11	2.39802e+06	2.86593e+08	4.63423e-06	5.53847e-04
1.22367e+00	1.90046e+01	2.43330e+03	1.65649e-09	-1.22568e-11	2.40199e+06	3.07545e+08	3.20952e-06	4.10939e-04
1.00000e+00	2.26992e+01	2.97276e+03	1.65382e-09	-1.20718e-11	2.40587e+06	3.15080e+08	2.56842e-06	3.36369e-04
1.00000e+00	2.29139e+01	2.97014e+03	1.65237e-09	-1.21913e-11	2.40798e+06	3.12128e+08	2.59728e-06	3.36664e-04
7.40741e-01	3.04735e+01	4.00092e+03	1.64875e-09	-1.21458e-11	2.41327e+06	3.16842e+08	1.90361e-06	2.49928e-04
5.48697e-01	4.12196e+01	5.38669e+03	1.64431e-09	-1.22772e-11	2.41978e+06	3.16224e+08	1.42048e-06	1.85632e-04
4.06442e-01	5.65160e+01	7.24790e+03	1.63885e-09	-1.25530e-11	2.42784e+06	3.11359e+08	1.07577e-06	1.37963e-04
3.01068e-01	7.88085e+01	9.74381e+03	1.63201e-09	-1.30323e-11	2.43802e+06	3.01434e+08	8.30018e-07	1.02623e-04
2.23014e-01	1.11070e+02	1.30884e+04	1.62385e-09	-1.36562e-11	2.45027e+06	2.88736e+08	6.48328e-07	7.63981e-05
1.65195e-01	1.57543e+02	1.75601e+04	1.61381e-09	-1.43867e-11	2.46552e+06	2.74811e+08	5.10873e-07	5.69429e-05
1.22367e-01	2.23684e+02	2.35228e+04	1.60133e-09	-1.51594e-11	2.48473e+06	2.61296e+08	4.04221e-07	4.25082e-05
1.00000e-01	2.83897e+02	2.85365e+04	1.58756e-09	-1.57383e-11	2.50628e+06	2.51924e+08	3.48591e-07	3.50394e-05
