1 סאזא - ףכüענא, 28.9.2016, 17:21
Diameter[mm] 2.000e+01  Thickness[mm] 1.250e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [°C]=1.5000e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'  	 Eps'' 	 Sig' [S/cm]	 Sig'' [S/cm]	 Zp' [Ohms]	 Zp'' [Ohms]	 Modulus'  	 Modulus''  
1.00000e+06	3.05398e+00	1.42631e-01	7.93493e-08	-1.14268e-06	5.01438e+04	2.34188e+03	3.26729e-01	1.52593e-02
7.40741e+05	3.08230e+00	1.43935e-01	5.93145e-08	-8.58102e-07	6.70809e+04	3.13249e+03	3.23727e-01	1.51171e-02
5.48697e+05	3.10764e+00	1.45390e-01	4.43810e-08	-6.43367e-07	8.96527e+04	4.19438e+03	3.21084e-01	1.50218e-02
4.06442e+05	3.13277e+00	1.48040e-01	3.34739e-08	-4.82249e-07	1.18865e+05	5.61700e+03	3.18496e-01	1.50506e-02
3.01068e+05	3.15771e+00	1.52210e-01	2.54940e-08	-3.61400e-07	1.56071e+05	7.52304e+03	3.15951e-01	1.52297e-02
2.23014e+05	3.18249e+00	1.58471e-01	1.96612e-08	-2.70778e-07	2.02372e+05	1.00770e+04	3.13442e-01	1.56077e-02
1.65195e+05	3.20670e+00	1.67455e-01	1.53895e-08	-2.02801e-07	2.58545e+05	1.35013e+04	3.10999e-01	1.62404e-02
1.22367e+05	3.23062e+00	1.80047e-01	1.22569e-08	-1.51851e-07	3.24624e+05	1.80918e+04	3.08580e-01	1.71976e-02
1.00000e+05	3.24652e+00	1.91263e-01	1.06404e-08	-1.24980e-07	3.73939e+05	2.20299e+04	3.06957e-01	1.80838e-02
7.40741e+04	3.27016e+00	2.13284e-01	8.78929e-09	-9.35519e-08	4.52696e+05	2.95254e+04	3.04500e-01	1.98598e-02
5.48697e+04	3.29394e+00	2.43568e-01	7.43503e-09	-7.00235e-08	5.35152e+05	3.95715e+04	3.01937e-01	2.23266e-02
4.06442e+04	3.31833e+00	2.84785e-01	6.43940e-09	-5.24207e-08	6.17896e+05	5.30289e+04	2.99153e-01	2.56739e-02
3.01068e+04	3.34384e+00	3.40427e-01	5.70188e-09	-3.92574e-08	6.97818e+05	7.10429e+04	2.95990e-01	3.01339e-02
2.23013e+04	3.37107e+00	4.14927e-01	5.14792e-09	-2.94174e-08	7.72909e+05	9.51333e+04	2.92215e-01	3.59672e-02
1.65195e+04	3.40093e+00	5.14142e-01	4.72509e-09	-2.20651e-08	8.42074e+05	1.27302e+05	2.87467e-01	4.34584e-02
1.22367e+04	3.43491e+00	6.45877e-01	4.39686e-09	-1.65758e-08	9.04936e+05	1.70158e+05	2.81187e-01	5.28724e-02
1.00000e+04	3.46082e+00	7.57440e-01	4.21384e-09	-1.36902e-08	9.44240e+05	2.06658e+05	2.75741e-01	6.03490e-02
7.40741e+03	3.50558e+00	9.67392e-01	3.98656e-09	-1.03253e-08	9.98072e+05	2.75426e+05	2.65073e-01	7.31491e-02
5.48697e+03	3.55943e+00	1.24301e+00	3.79435e-09	-7.81276e-09	1.04863e+06	3.66200e+05	2.50406e-01	8.74462e-02
4.06442e+03	3.62299e+00	1.60371e+00	3.62622e-09	-5.93096e-09	1.09725e+06	4.85696e+05	2.30794e-01	1.02160e-01
3.01068e+03	3.70300e+00	2.07651e+00	3.47799e-09	-4.52730e-09	1.14402e+06	6.41524e+05	2.05447e-01	1.15207e-01
2.23014e+03	3.79871e+00	2.69547e+00	3.34421e-09	-3.47231e-09	1.18978e+06	8.44235e+05	1.75090e-01	1.24239e-01
1.65195e+03	3.91382e+00	3.51036e+00	3.22610e-09	-2.67787e-09	1.23334e+06	1.10620e+06	1.41597e-01	1.27000e-01
1.22367e+03	4.04100e+00	4.58114e+00	3.11865e-09	-2.07019e-09	1.27583e+06	1.44637e+06	1.08290e-01	1.22764e-01
1.00000e+03	4.13171e+00	5.48494e+00	3.05141e-09	-1.74225e-09	1.30394e+06	1.73102e+06	8.76187e-02	1.16316e-01
7.40741e+02	4.28068e+00	7.20370e+00	2.96860e-09	-1.35195e-09	1.34032e+06	2.25555e+06	6.09631e-02	1.02591e-01
5.48697e+02	4.43049e+00	9.48506e+00	2.89535e-09	-1.04717e-09	1.37423e+06	2.94203e+06	4.04258e-02	8.65460e-02
4.06442e+02	4.58853e+00	1.25465e+01	2.83694e-09	-8.11419e-10	1.40252e+06	3.83494e+06	2.57106e-02	7.03007e-02
